,SRR_id,tissue_name,STAR_mapping_rate [%],SRR_filesize_bytes,fastq_filesize_bytes,bam_filesize_bytes,index_release,n_spots,nproc,instance_type,library_layout,instance_id,execution_mode,s3_path,prefetch_start_time,prefetch_end_time,fasterq_dump_start_time,fasterq_dump_end_time,star_start_time,star_end_time,deseq2_star_start_time,deseq2_star_end_time
20,SRR17278717,adipose_tissue,83.97,1414095353,14013876678,1625587110,111,16564519,8,r6a.2xlarge,paired,i-0dfd4a8348980b044,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR17278717_STAR_normalized_counts.tsv,2024-03-02T21:53:42,2024-03-02T21:54:20,2024-03-02T21:54:20,2024-03-02T21:55:00,2024-03-02T21:55:00,2024-03-02T22:00:55,2024-03-02T22:00:55,2024-03-02T22:01:01
21,SRR13105525,adipose_tissue,83.72,4109722388,17155480968,6850295658,111,29938142,8,r6a.2xlarge,paired,i-02ffea14c4afc10cb,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13105525_STAR_normalized_counts.tsv,2024-03-02T21:37:37,2024-03-02T21:39:26,2024-03-02T21:39:26,2024-03-02T21:40:18,2024-03-02T21:40:18,2024-03-02T21:47:37,2024-03-02T21:47:37,2024-03-02T21:47:44
22,SRR12068779,adipose_tissue,83.3,927342687,8757108324,1584206304,111,30560947,8,r6a.2xlarge,single,i-077cd1164c3ebd250,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR12068779_STAR_normalized_counts.tsv,2024-03-02T21:59:32,2024-03-02T21:59:53,2024-03-02T21:59:53,2024-03-02T22:00:16,2024-03-02T22:00:16,2024-03-02T22:03:17,2024-03-02T22:03:17,2024-03-02T22:03:23
23,SRR11224763,adipose_tissue,81.68,1518444800,8905323424,1921753638,111,11650534,8,r6a.2xlarge,paired,i-0ef44a3e24caafaa9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11224763_STAR_normalized_counts.tsv,2024-03-02T23:37:08,2024-03-02T23:37:48,2024-03-02T23:37:48,2024-03-02T23:38:11,2024-03-02T23:38:11,2024-03-02T23:44:01,2024-03-02T23:44:01,2024-03-02T23:44:07
24,SRR12068722,adipose_tissue,80.61,1135662349,9856604484,2046168402,111,34378642,8,r6a.2xlarge,single,i-031f8393b535d2fc7,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR12068722_STAR_normalized_counts.tsv,2024-03-03T00:16:52,2024-03-03T00:17:26,2024-03-03T00:17:26,2024-03-03T00:17:53,2024-03-03T00:17:53,2024-03-03T00:21:39,2024-03-03T00:21:39,2024-03-03T00:21:45
25,SRR10669060,adipose_tissue,80.12,961296535,6883417538,2441682090,111,14859342,8,r6a.2xlarge,paired,i-0cf12ba749ba1f9ec,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR10669060_STAR_normalized_counts.tsv,2024-03-02T21:25:24,2024-03-02T21:25:49,2024-03-02T21:25:49,2024-03-02T21:26:06,2024-03-02T21:26:06,2024-03-02T21:29:42,2024-03-02T21:29:42,2024-03-02T21:29:48
26,SRR21508561,adipose_tissue,79.54,2086819999,23210773532,3886599400,111,33514700,8,r6a.2xlarge,paired,i-02ffea14c4afc10cb,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR21508561_STAR_normalized_counts.tsv,2024-03-03T00:01:44,2024-03-03T00:02:42,2024-03-03T00:02:42,2024-03-03T00:03:57,2024-03-03T00:03:57,2024-03-03T00:11:18,2024-03-03T00:11:18,2024-03-03T00:11:24
27,SRR20295926,adipose_tissue,79.09,623553885,5156571960,1661335244,111,8622020,8,r6a.2xlarge,paired,i-091bdb48b2920c877,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR20295926_STAR_normalized_counts.tsv,2024-03-02T22:01:01,2024-03-02T22:01:18,2024-03-02T22:01:18,2024-03-02T22:01:26,2024-03-02T22:01:26,2024-03-02T22:03:12,2024-03-02T22:03:12,2024-03-02T22:03:17
28,SRR11225452,adipose_tissue,78.5,883322868,5026231296,1092530174,111,6556146,8,r6a.2xlarge,paired,i-0fa087386515fd58e,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11225452_STAR_normalized_counts.tsv,2024-03-03T00:08:51,2024-03-03T00:09:19,2024-03-03T00:09:19,2024-03-03T00:09:28,2024-03-03T00:09:28,2024-03-03T00:13:42,2024-03-03T00:13:42,2024-03-03T00:13:48
29,ERR2731376,adipose_tissue,78.26,1141818699,9128246728,3466719873,111,25046564,8,r6a.2xlarge,paired,i-01529ad6d53838bda,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/ERR2731376_STAR_normalized_counts.tsv,2024-03-02T22:57:21,2024-03-02T22:57:48,2024-03-02T22:57:48,2024-03-02T22:58:11,2024-03-02T22:58:11,2024-03-02T23:02:34,2024-03-02T23:02:34,2024-03-02T23:02:41
30,SRR11221723,adipose_tissue,78.14,463169649,2875878904,587417924,111,3775874,8,r6a.2xlarge,paired,i-091bdb48b2920c877,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11221723_STAR_normalized_counts.tsv,2024-03-02T20:53:50,2024-03-02T20:54:01,2024-03-02T20:54:01,2024-03-02T20:54:06,2024-03-02T20:54:06,2024-03-02T20:56:13,2024-03-02T20:56:13,2024-03-02T20:56:19
31,SRR19626919,adipose_tissue,77.46,218545107,2333213880,466900531,111,3368908,8,r6a.2xlarge,paired,i-09232593a7f068c5c,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR19626919_STAR_normalized_counts.tsv,2024-03-02T22:53:47,2024-03-02T22:53:52,2024-03-02T22:53:52,2024-03-02T22:53:55,2024-03-02T22:53:55,2024-03-02T22:54:47,2024-03-02T22:54:47,2024-03-02T22:54:53
32,SRR20729737,adipose_tissue,77.04,300875132,2650598572,526128529,111,4439068,8,r6a.2xlarge,paired,i-09c15448092ddddd9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR20729737_STAR_normalized_counts.tsv,2024-03-02T22:29:52,2024-03-02T22:30:00,2024-03-02T22:30:00,2024-03-02T22:30:04,2024-03-02T22:30:04,2024-03-02T22:31:01,2024-03-02T22:31:01,2024-03-02T22:31:07
33,SRR10565294,adipose_tissue,75.78,366169180,3698181388,626167643,111,19728994,8,r6a.2xlarge,single,i-0301c7d25de205cad,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR10565294_STAR_normalized_counts.tsv,2024-03-02T21:52:58,2024-03-02T21:53:07,2024-03-02T21:53:07,2024-03-02T21:53:18,2024-03-02T21:53:18,2024-03-02T21:54:51,2024-03-02T21:54:51,2024-03-02T21:54:57
34,SRR11227228,adipose_tissue,75.06,489196379,2888446704,649067102,111,3792324,8,r6a.2xlarge,paired,i-0e1fd26e66d868880,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11227228_STAR_normalized_counts.tsv,2024-03-02T20:44:55,2024-03-02T20:45:08,2024-03-02T20:45:08,2024-03-02T20:45:14,2024-03-02T20:45:14,2024-03-02T20:47:24,2024-03-02T20:47:24,2024-03-02T20:47:38
35,SRR11221740,adipose_tissue,74.94,461034530,2534593992,601115675,111,3329166,8,r6a.2xlarge,paired,i-0224671765a35ade8,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11221740_STAR_normalized_counts.tsv,2024-03-02T20:44:59,2024-03-02T20:45:10,2024-03-02T20:45:10,2024-03-02T20:45:15,2024-03-02T20:45:15,2024-03-02T20:47:42,2024-03-02T20:47:42,2024-03-02T20:47:56
36,SRR13615658,adipose_tissue,74.8,964792085,8235812464,1739632632,111,17637079,8,r6a.2xlarge,paired,i-0374dc26795fa792d,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR13615658_STAR_normalized_counts.tsv,2024-03-02T22:47:26,2024-03-02T22:47:50,2024-03-02T22:47:50,2024-03-02T22:48:10,2024-03-02T22:48:10,2024-03-02T22:53:23,2024-03-02T22:53:23,2024-03-02T22:53:30
37,SRR11227622,adipose_tissue,73.5,283332522,1771579552,366592619,111,2330456,8,r6a.2xlarge,paired,i-09c15448092ddddd9,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11227622_STAR_normalized_counts.tsv,2024-03-02T21:11:04,2024-03-02T21:11:11,2024-03-02T21:11:11,2024-03-02T21:11:14,2024-03-02T21:11:14,2024-03-02T21:12:45,2024-03-02T21:12:45,2024-03-02T21:12:51
38,SRR11225001,adipose_tissue,73.49,464918318,2921680704,595759856,111,3835824,8,r6a.2xlarge,paired,i-0ef1b050eca7cea4e,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11225001_STAR_normalized_counts.tsv,2024-03-02T23:56:42,2024-03-02T23:56:53,2024-03-02T23:56:53,2024-03-02T23:56:58,2024-03-02T23:56:58,2024-03-02T23:59:11,2024-03-02T23:59:11,2024-03-02T23:59:17
39,SRR11222894,adipose_tissue,73.1,614090727,3609156172,777613661,111,4735661,8,r6a.2xlarge,paired,i-0301c7d25de205cad,EC2,s3://neardata-star-on-demand-1k-results/STAR/high_mapping_rate/adipose_tissue/normalized_counts/SRR11222894_STAR_normalized_counts.tsv,2024-03-02T20:48:44,2024-03-02T20:48:59,2024-03-02T20:48:59,2024-03-02T20:49:05,2024-03-02T20:49:05,2024-03-02T20:51:48,2024-03-02T20:51:48,2024-03-02T20:51:54
